,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
37,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,1.0,Bar,Restaurant,Café,Vegetarian / Vegan Restaurant,Asian Restaurant,Men's Store,Coffee Shop,Park,Beer Store,Boutique
38,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,1.0,Department Store,Coffee Shop,Convenience Store,Bus Station,Chinese Restaurant,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
39,M2K,North York,Bayview Village,43.7869473,-79.385975,1.0,Japanese Restaurant,Café,Bank,Chinese Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store
40,M3K,North York,Downsview,43.737473200000004,-79.46476329999999,1.0,Grocery Store,Park,Gym / Fitness Center,Hotel,Shopping Mall,Discount Store,Food Truck,Baseball Field,Bank,Business Service
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,1.0,Greek Restaurant,Coffee Shop,Italian Restaurant,Furniture / Home Store,Ice Cream Shop,Restaurant,Cosmetics Shop,Bookstore,Brewery,Bubble Tea Shop
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,1.0,Coffee Shop,Hotel,Café,Seafood Restaurant,Italian Restaurant,Restaurant,American Restaurant,Salad Place,Japanese Restaurant,Deli / Bodega
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002,1.0,Café,Coffee Shop,Breakfast Spot,Bakery,Stadium,Burrito Place,Furniture / Home Store,Restaurant,Climbing Gym,Nightclub
44,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,1.0,Bus Line,Bakery,Bus Station,Ice Cream Shop,Park,Metro Station,Women's Store,Distribution Center,Diner,Discount Store
46,M3L,North York,Downsview,43.7390146,-79.5069436,1.0,Grocery Store,Park,Gym / Fitness Center,Hotel,Shopping Mall,Discount Store,Food Truck,Baseball Field,Bank,Business Service
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,1.0,Fast Food Restaurant,Coffee Shop,Pub,Brewery,Liquor Store,Park,Sandwich Place,Steakhouse,Fish & Chips Shop,Italian Restaurant
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001,1.0,Coffee Shop,Restaurant,Café,Hotel,Gym,American Restaurant,Italian Restaurant,Deli / Bodega,Japanese Restaurant,Seafood Restaurant
49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738,1.0,Basketball Court,Trail,Bakery,Park,Construction & Landscaping,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
50,M9L,North York,Humber Summit,43.7563033,-79.56596329999999,1.0,Gym,Intersection,Pizza Place,Greek Restaurant,Event Space,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop
51,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,1.0,Motel,American Restaurant,Women's Store,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant,Department Store
52,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999,2.0,Park,Women's Store,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop
53,M3M,North York,Downsview,43.7284964,-79.49569740000001,1.0,Grocery Store,Park,Gym / Fitness Center,Hotel,Shopping Mall,Discount Store,Food Truck,Baseball Field,Bank,Business Service
54,M4M,East Toronto,Studio District,43.6595255,-79.340923,1.0,Coffee Shop,Café,Brewery,Bakery,Gastropub,American Restaurant,Fish Market,Bank,Bar,Italian Restaurant
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1.0,Italian Restaurant,Coffee Shop,Sandwich Place,Women's Store,Butcher,Restaurant,Café,Pub,Pizza Place,Comfort Food Restaurant
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999,1.0,Sandwich Place,Skating Rink,Turkish Restaurant,Convenience Store,Women's Store,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
57,M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002,4.0,Baseball Field,Paper / Office Supplies Store,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,1.0,College Stadium,Café,Skating Rink,General Entertainment,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
59,M2N,North York,"Willowdale, Willowdale East",43.7701199,-79.40849279999999,1.0,Ramen Restaurant,Sandwich Place,Shopping Mall,Restaurant,Café,Sushi Restaurant,Pizza Place,Coffee Shop,Middle Eastern Restaurant,Plaza
60,M3N,North York,Downsview,43.7616313,-79.52099940000001,1.0,Grocery Store,Park,Gym / Fitness Center,Hotel,Shopping Mall,Discount Store,Food Truck,Baseball Field,Bank,Business Service
61,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,2.0,Bus Line,Park,Swim School,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store
62,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,1.0,Garden,Home Service,Women's Store,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
63,M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001,1.0,Convenience Store,Bus Line,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Dessert Shop,Donut Shop
64,M9N,York,Weston,43.706876,-79.51818840000001,2.0,Convenience Store,Jewelry Store,Park,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Women's Store
65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,1.0,Indian Restaurant,Vietnamese Restaurant,Thrift / Vintage Store,Light Rail Station,Pet Store,Chinese Restaurant,Dumpling Restaurant,Eastern European Restaurant,Drugstore,Donut Shop
66,M2P,North York,York Mills West,43.752758299999996,-79.4000493,2.0,Convenience Store,Park,Women's Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,1.0,Gym / Fitness Center,Hotel,Breakfast Spot,Food & Drink Shop,Sandwich Place,Department Store,Pizza Place,Park,Comic Shop,Dessert Shop
